user_id,user_link,user_name,user_nationality,level_tag,user_level,badge_tag,user_badge,game_tag,user_games,Cluster
NothingToEat,https://steamcommunity.com/id/NothingToEat/,YaDan,,50-100,73,20-50,29,100-500,279,0
76561198363374421,https://steamcommunity.com/profiles/76561198363374421/,残疾女孩用轮椅轧我牛至算足交吗,China,0-20,7,0-20,5,20-50,33,0
76561198982788256,https://steamcommunity.com/profiles/76561198982788256/,氛围,,0-20,6,0-20,5,20-50,33,0
76561199542822646,https://steamcommunity.com/profiles/76561199542822646/,NANA,,0-20,7,0-20,5,100-500,237,0
suemills,https://steamcommunity.com/id/suemills/,NIU,,,-1,None,-1,None,-1,0
159680,https://steamcommunity.com/id/159680/,往你的火锅蘸料里加入,China,0-20,15,0-20,12,100-500,115,0
sd334691,https://steamcommunity.com/id/sd334691/,the star,"Shanghai, Shanghai, China",0-20,13,0-20,6,100-500,109,0
76561198135205385,https://steamcommunity.com/profiles/76561198135205385/,再爱就不礼貌了,,0-20,9,0-20,7,0-20,18,0
76561198153506849,https://steamcommunity.com/profiles/76561198153506849/,老何,,0-20,9,0-20,5,20-50,34,0
76561199098213074,https://steamcommunity.com/profiles/76561199098213074/,泷谷奈落,China,50-100,65,20-50,30,20-50,40,0
76561198992281778,https://steamcommunity.com/profiles/76561198992281778/,lgwlonely,,0-20,4,0-20,3,20-50,24,0
Zh1zu_YuK1Kaze_,https://steamcommunity.com/id/Zh1zu_YuK1Kaze_/,Zh1zu_YuK1Kaze_,"Nanjing, Jiangsu, China",0-20,11,0-20,7,50-100,65,0
76561199197833433,https://steamcommunity.com/profiles/76561199197833433/,Jett（恩师程啟霖）,"Malov, Kobenhavn, Denmark",20-50,22,0-20,15,20-50,46,0
76561198856704292,https://steamcommunity.com/profiles/76561198856704292/,Bubu Chacha,,20-50,32,20-50,45,100-500,144,0
76561199122006981,https://steamcommunity.com/profiles/76561199122006981/,能打总力战吗？,Hong Kong,20-50,22,0-20,19,100-500,178,0
876700307,https://steamcommunity.com/id/876700307/,ELI,United Kingdom (Great Britain),20-50,21,0-20,17,50-100,53,0
freearon,https://steamcommunity.com/id/freearon/,吴承恩,,0-20,10,0-20,9,50-100,80,2
386365194,https://steamcommunity.com/id/386365194/,园小长,Antarctica,0-20,11,0-20,8,20-50,26,0
76561198411118539,https://steamcommunity.com/profiles/76561198411118539/,Ice.,,20-50,31,0-20,17,50-100,87,0
76561198049710947,https://steamcommunity.com/profiles/76561198049710947/,他们BiuBiuBiu得打我,,,-1,None,-1,None,-1,0
76561198814425366,https://steamcommunity.com/profiles/76561198814425366/,yoyomood,,0-20,6,0-20,3,20-50,28,0
